Source,Target,Type,Id,Label,timeset,Weight
0,1,Directed,0,,,1
1,2,Directed,1,,,1
2,3,Directed,2,,,1
3,4,Directed,3,,,1
4,5,Directed,4,,,1
5,6,Directed,5,,,1
5,7,Directed,6,,,1
8,9,Directed,7,,,1
8,10,Directed,8,,,1
9,20,Directed,10,,,1
9,21,Directed,11,,,1
20,11,Directed,12,,,1
21,11,Directed,13,,,1
11,12,Directed,14,,,1
12,13,Directed,15,,,1
5,13,Directed,16,,,1
13,22,Directed,17,,,1
22,14,Directed,18,,,1
14,15,Directed,19,,,1
16,17,Directed,20,,,1
16,14,Directed,21,,,1
16,13,Directed,22,,,1
17,14,Directed,23,,,1
17,13,Directed,24,,,1
16,19,Directed,25,,,1
16,18,Directed,26,,,1
23,0,Directed,27,,,1
5,12,Directed,28,,,1
4,24,Directed,29,,,1
9,24,Directed,30,,,1
